layer,x,y,voltage
M4,82.900,256.300,0.9500000000000002
M4,82.900,266.500,0.95
M4,82.900,276.700,0.9500000000000002
M4,82.900,286.900,0.9499999999999998
M4,82.900,297.100,0.9500000000000002
M4,82.900,307.300,0.95
M4,82.900,317.500,0.95
M4,82.900,327.700,0.95
M4,82.900,337.900,0.9499999999999998
M4,82.900,348.100,0.95
M4,82.900,358.300,0.9500000000000002
M4,82.900,368.500,0.95
M4,82.900,378.700,0.9500000000000002
M4,93.100,1.300,0.9499999999999998
M4,93.100,11.500,0.9499999999999998
M4,93.100,21.700,0.9499999999999998
M4,93.100,31.900,0.9500000000000002
M4,93.100,42.100,0.9500000000000002
M4,93.100,52.300,0.9499999999999998
M4,93.100,62.500,0.9500000000000002
M4,93.100,72.700,0.95
M4,93.100,82.900,0.9499999999999998
M4,93.100,93.100,0.9499999999999996
M4,93.100,103.300,0.95
M4,93.100,113.500,0.9500000000000002
M4,93.100,123.700,0.95
M4,93.100,133.900,0.9499999999999998
M4,93.100,144.100,0.9500000000000002
M4,93.100,154.300,0.9499999999999998
M4,93.100,164.500,0.95
M4,93.100,174.700,0.95
M4,93.100,184.900,0.9500000000000002
M4,93.100,195.100,0.9499999999999996
M4,93.100,205.300,0.95
M4,93.100,215.500,0.95
M4,93.100,225.700,0.9499999999999998
M4,93.100,235.900,0.9499999999999998
M4,93.100,246.100,0.95
M4,93.100,256.300,0.9499999999999998
M4,93.100,266.500,0.95
M4,93.100,276.700,0.9500000000000002
M4,93.100,286.900,0.95
M4,93.100,297.100,0.9499999999999998
M4,93.100,307.300,0.9499999999999998
M4,93.100,317.500,0.9500000000000002
M4,93.100,327.700,0.95
M4,93.100,337.900,0.9499999999999998
M4,93.100,348.100,0.9499999999999996
M4,93.100,358.300,0.9500000000000002
M4,93.100,368.500,0.95
M4,93.100,378.700,0.9499999999999998
M4,103.300,1.300,0.9500000000000002
M4,103.300,11.500,0.95
M4,103.300,21.700,0.95
M4,103.300,31.900,0.9499999999999998
M4,103.300,42.100,0.9499999999999996
M4,103.300,52.300,0.9499999999999998
M4,103.300,62.500,0.9499999999999996
M4,103.300,72.700,0.9499999999999998
M4,103.300,82.900,0.9499999999999998
M4,103.300,93.100,0.95
M4,103.300,103.300,0.9499999999999998
M4,103.300,113.500,0.9499999999999998
M4,103.300,123.700,0.9499999999999996
M4,103.300,133.900,0.9499999999999996
M4,103.300,144.100,0.95
M4,103.300,154.300,0.9499999999999996
M4,103.300,164.500,0.9499999999999994
M4,103.300,174.700,0.9499999999999996
M4,103.300,184.900,0.9499999999999996
M4,103.300,195.100,0.95
M4,103.300,205.300,0.9500000000000002
M4,103.300,215.500,0.95
M4,103.300,225.700,0.9499999999999998
M4,103.300,235.900,0.95
M4,103.300,246.100,0.95
M4,103.300,256.300,0.95
M4,103.300,266.500,0.95
M4,103.300,276.700,0.9500000000000004
M4,103.300,286.900,0.95
M4,103.300,297.100,0.95
M4,103.300,307.300,0.95
M4,103.300,317.500,0.9499999999999998
M4,103.300,327.700,0.95
M4,103.300,337.900,0.9500000000000002
M4,103.300,348.100,0.9499999999999998
M4,103.300,358.300,0.9499999999999996
M4,103.300,368.500,0.95
M4,103.300,378.700,0.9499999999999996
M4,113.500,1.300,0.9499999999999996
M4,113.500,11.500,0.9499999999999996
M4,113.500,21.700,0.9499999999999996
M4,113.500,31.900,0.9499999999999996
M4,113.500,42.100,0.9499999999999996
M4,113.500,52.300,0.9499999999999996
M4,113.500,62.500,0.9499999999999996
M4,113.500,72.700,0.9499999999999996
M4,113.500,82.900,0.9499999999999996
M4,113.500,93.100,0.95
M4,113.500,103.300,0.9499999999999998
M4,113.500,113.500,0.9499999999999996
M4,113.500,123.700,0.9499999999999994
M4,113.500,133.900,0.9499999999999996
M4,113.500,144.100,0.9499999999999996
M4,113.500,154.300,0.9499999999999996
M4,113.500,164.500,0.9499999999999996
M4,113.500,174.700,0.9499999999999996
