Instance_name	Avg_power	Pin_x	Pin_y	VDD_drop	Net_name
i_tv80_core_i_reg_RegsL_reg_5__1_	4.13428e-05	3.823	30.9	0.878593	VDD
i_tv80_core_i_reg_RegsL_reg_3__1_	4.29373e-05	4.563	33.3	0.878655	VDD
i_tv80_core_A_reg_10_	4.75476e-05	50.369	17.7	0.878911	VDD
i_tv80_core_A_reg_7_	3.66281e-05	41.193	18.9	0.878211	VDD
i_tv80_core_A_reg_6_	3.53636e-05	50.369	16.5	0.879233	VDD
i_tv80_core_A_reg_5_	3.27331e-05	48.815	16.5	0.879105	VDD
i_tv80_core_A_reg_1_	3.37002e-05	49.777	14.1	0.879069	VDD
i_tv80_core_A_reg_11_	4.14469e-05	50.295	20.1	0.878917	VDD
i_tv80_core_TmpAddr_reg_14_	3.39116e-05	41.193	11.7	0.878707	VDD
i_tv80_core_A_reg_0_	4.20618e-05	42.451	17.7	0.878283	VDD
i_tv80_core_A_reg_3_	2.91456e-05	50.147	15.3	0.879071	VDD
i_tv80_core_A_reg_2_	2.8452e-05	49.703	11.7	0.879036	VDD
i_tv80_core_TmpAddr_reg_13_	3.46247e-05	42.895	12.9	0.878785	VDD
i_tv80_core_SP_reg_13_	4.92714e-05	39.639	21.3	0.878251	VDD
i_tv80_core_PC_reg_4_	5.55951e-05	34.829	10.5	0.878107	VDD
i_tv80_core_PC_reg_3_	5.76684e-05	34.829	9.3	0.878393	VDD
i_tv80_core_SP_reg_7_	5.50401e-05	35.717	26.1	0.878552	VDD
i_tv80_core_SP_reg_9_	5.35069e-05	32.313	22.5	0.878119	VDD
i_tv80_core_TmpAddr_reg_7_	4.65917e-05	35.717	11.7	0.878462	VDD
i_tv80_core_IntE_FF1_reg	3.00573e-05	21.953	22.5	0.878085	VDD
i_tv80_core_m1_n_reg	4.8334e-05	27.281	16.5	0.877666	VDD
i_tv80_core_TmpAddr_reg_10_	4.743e-05	41.341	12.9	0.878732	VDD
i_tv80_core_BusB_reg_1_	5.65594e-05	34.163	38.1	0.878476	VDD
i_tv80_core_Pre_XY_F_M_reg_0_	3.69307e-05	25.949	2.1	0.879171	VDD
i_tv80_core_IntCycle_reg	6.29425e-05	24.691	11.7	0.878043	VDD
i_tv80_core_NMICycle_reg	7.32864e-05	24.839	10.5	0.878079	VDD
i_tv80_core_Pre_XY_F_M_reg_1_	3.31258e-05	26.615	3.3	0.878787	VDD
i_tv80_core_SP_reg_11_	6.22017e-05	41.341	21.3	0.878228	VDD
i_tv80_core_do_reg_7_	4.25652e-05	42.081	30.9	0.878058	VDD
i_tv80_core_RegAddrC_reg_0_	4.70004e-05	16.625	27.3	0.877538	VDD
i_tv80_core_i_reg_RegsL_reg_7__0_	3.84881e-05	12.999	34.5	0.878426	VDD
i_tv80_core_i_reg_RegsL_reg_1__0_	4.11851e-05	13.147	32.1	0.878464	VDD
i_tv80_core_i_reg_RegsL_reg_4__1_	3.73563e-05	2.343	33.3	0.878891	VDD
i_tv80_core_i_reg_RegsL_reg_1__1_	3.78005e-05	3.897	30.9	0.878593	VDD
i_tv80_core_i_reg_RegsL_reg_2__1_	3.49572e-05	7.671	33.3	0.87861	VDD
i_tv80_core_i_reg_RegsL_reg_6__0_	3.94284e-05	12.925	34.5	0.878426	VDD
i_tv80_core_Ap_reg_3_	2.72649e-05	48.297	28.5	0.879202	VDD
i_tv80_core_Ap_reg_2_	2.75119e-05	48.075	27.3	0.879028	VDD
i_tv80_core_Ap_reg_4_	3.01003e-05	47.853	27.3	0.879028	VDD
i_tv80_core_i_reg_RegsL_reg_3__0_	4.05234e-05	18.475	30.9	0.877803	VDD
i_tv80_core_mcycles_reg_2_	3.4094e-05	25.061	3.3	0.878531	VDD
i_tv80_core_Ap_reg_6_	3.06446e-05	47.927	26.1	0.878944	VDD
i_tv80_core_Ap_reg_0_	2.62487e-05	43.265	27.3	0.878583	VDD
i_tv80_core_Ap_reg_5_	2.67496e-05	46.447	29.7	0.878904	VDD
i_tv80_core_Ap_reg_1_	2.51836e-05	42.821	26.1	0.878718	VDD
i_tv80_core_Ap_reg_7_	3.05616e-05	41.785	26.1	0.878685	VDD
i_tv80_core_Fp_reg_4_	2.98978e-05	48.001	29.7	0.878981	VDD
i_tv80_core_Read_To_Reg_r_reg_2_	3.21516e-05	29.205	24.9	0.878159	VDD
di_reg_reg_0_	9.74459e-05	28.909	16.5	0.877598	VDD
i_tv80_core_i_reg_RegsL_reg_5__6_	3.33274e-05	21.361	35.7	0.878651	VDD
i_tv80_core_i_reg_RegsL_reg_0__6_	3.58069e-05	16.995	36.9	0.878343	VDD
i_tv80_core_RegBusA_r_reg_12_	2.24876e-05	25.061	46.5	0.878724	VDD
i_tv80_core_SP_reg_15_	5.86658e-05	36.161	23.7	0.878281	VDD
i_tv80_core_A_reg_4_	2.67625e-05	50.369	16.5	0.879233	VDD
i_tv80_core_F_reg_2_	7.96467e-05	30.389	27.3	0.878185	VDD
i_tv80_core_PC_reg_15_	5.78493e-05	44.375	10.5	0.878685	VDD
i_tv80_core_TmpAddr_reg_9_	3.96006e-05	49.777	14.1	0.879069	VDD
i_tv80_core_TmpAddr_reg_6_	3.094e-05	34.755	14.1	0.878775	VDD
i_tv80_core_PC_reg_0_	5.15843e-05	31.203	10.5	0.877962	VDD
mreq_n_reg	3.8229e-05	28.687	12.9	0.877938	VDD
optlc_8503	0	21.361	27.3	0.878258	VDD
U2485	1.99607e-05	17.217	9.3	0.878409	VDD
U2487	3.02898e-05	6.228	18.9	0.878301	VDD
U2490	7.87093e-06	8.781	27.3015	0.877811	VDD
ctmTdsLR_1_1581	1.30314e-05	13.591	24.9	0.878645	VDD
U2493	9.99706e-06	15.441	35.6985	0.878502	VDD
U2496	1.15755e-05	12.074	22.5	0.878208	VDD
ctmTdsLR_1_1640	3.99154e-06	35.162	2.1	0.879474	VDD
U2504	5.81977e-06	13.591	22.5	0.878235	VDD
U2506	5.99212e-06	41.489	15.3	0.878695	VDD
U2509	2.57624e-05	9.854	20.1	0.878361	VDD
U2510	6.38534e-06	10.335	22.5	0.878254	VDD
U2511	3.90984e-06	10.113	23.7	0.878452	VDD
ctmTdsLR_1_1550	3.7814e-05	12.629	28.5	0.877844	VDD
U2517	1.8839e-05	13.924	3.3	0.878242	VDD
U2528	4.42336e-06	18.327	42.9	0.878435	VDD
U2529	1.13993e-05	14.146	26.1	0.878501	VDD
U2530	2.33857e-05	6.302	18.9	0.878301	VDD
U2533	7.32678e-06	17.809	34.5	0.878561	VDD
U2536	6.73578e-06	11.26	24.944	0.878734	VDD
U2538	1.28777e-05	17.476	44.056	0.878574	VDD
ctmTdsLR_1_1515	1.27037e-05	5.34	21.3	0.878812	VDD
U2541	6.98592e-06	31.98	4.544	0.878818	VDD
U2542	1.06978e-05	32.091	4.5	0.878818	VDD
U2549	1.37323e-05	20.14	18.9	0.878242	VDD
ctmTdsLR_1_8164	4.78232e-06	38.492	33.3	0.878755	VDD
